id,job industry,title,company,location,type,description
1,"Admin, Secretarial, and...",Ticket Officer,Wado Travel Services PLC,Addis Ababa,Office,"Job Vacancy: Ticket OfficerCompany: Wado Travel ServicesLocation: Remote (first 6 months), then full-time from officeEmployment Type: Full-TimeSalary: Base Salary + Commission on every air ticketAbout Us:Wado Travel Services is a dynamic and fast-growing travel agency dedicated to offering customized travel solutions. We specialize in air ticketing, group bookings, tours, and corporate travel services.Position Summary:We are looking for a highly motivated and detail-oriented Ticket Officer with a minimum of 2 ye..."
2,"Warehouse, Supply Chain...",Export manager,Reality Construction & Real Estate,Addis Ababa,Office,"OverviewREALITY REAL ESTATE a is a leading real estate developer in Ethiopia specializing in high-quality residential apartments to meet urban living demands.Job SummeryExport manager is responsible to the international trade, including developing new export markets, managing existing customer relationships, and ensuring compliance with all regulations and laws.Main Duties and Responsibilities:Establish and manage relationships with international partners,Monitor international regulations and compliance requirem..."
3,Health Care,"Technical Advisor: Gender, Safeguarding & Inclusion  - Proposal Recruitment",Population Services International (PSI),Addis Ababa,Office,"Position Title:Technical Advisor: Gender, Safeguarding &amp; Inclusion - Proposal Recruitment Department: Economic EmpowermentReporting To: Program LeadRequired Number of position - OneDirect Reports:Duty Station: Head Office/Addis AbabaRemuneration: As per the organization pay scale plus other PSI/Ethiopia staff benefitsApplicationDeadline:July 10, 2025.This is proposal-based recruitment, and all subsequent steps in the hiring process will be contingent upon award of the projectWho we are?We’re Population Servi..."
4,Business and Administra...,Technical Advisor: Business Development  - Proposal Recruitment,Population Services International (PSI),Addis Ababa,Office,"Position Title:Technical Advisor: Business Development - Proposal Recruitment Department: Economic EmpowermentReporting To: Program LeadRequired Number of position - OneDirect Reports:Duty Station: Head Office/Addis AbabaRemuneration: As per the organization pay scale plus other PSI/Ethiopia staff benefitsApplication Deadline: July, 10, 2025.This is proposal-based recruitment, and all subsequent steps in the hiring process will be contingent upon award of the projectWho we are?We’re Population Services Internati..."
5,Business and Administra...,Program Manager- Proposal Recruitment,Population Services International (PSI),Addis Ababa,Office,"Position Title:Program Manager- Proposal Recruitment Department: Economic EmpowermentReporting To: Program LeadRequired Number of position - OneDirect Reports:Duty Station: Head Office/Addis AbabaRemuneration: As per the organization pay scale plus other PSI/Ethiopia staff benefitsApplication Deadline: July 10, 2025.This is proposal-based recruitment, and all subsequent steps in the hiring process will be contingent upon award of the projectWho we are?We’re Population Services International (PSI), the world’s le..."
6,Business and Administra...,Program Lead/ Director- Proposal Recruitment,Population Services International (PSI),Addis Ababa,Office,"Position Title:Program Lead/ Director- Proposal Recruitment Department: Economic EmpowermentReporting To: Country RepresentativeRequired Number of position - OneDirect Reports:Program Manager, TA- Business Development &amp; TA – Gender, Safeguarding &amp; InclusionDuty Station: Head Office/Addis AbabaRemuneration: As per the organization pay scale plus other PSI/Ethiopia staff benefitsApplication Deadline:July 10, 2025.This is proposal-based recruitment, and all subsequent steps in the hiring process will be con..."
7,Health Care,"Project Director, DISC country Lead",Population Services International (PSI),Addis Ababa,Office,"Position Title:Project Director, DISC Country Lead Department: SRHReporting To: Country Representative with a dotted line to the DISC Country Operations Technical Advisor and SRH DirectorRequired Number of position - OneDirect Reports: Advisor, QA &amp; Training and Program CoordinatorDuty Station: Head Office/Addis AbabaRemuneration: As per the organization pay scaleApplication Deadline:July 9, 2025.Who we are?PSI is a network of locally rooted, globally connected organizations working to achieve consumer-power..."
8,Consultancy and Trainin...,Mental Health and Psychosocial Support Senior Officer (Social Cohesion Project),Ethiopian Red Cross Society (ERCS),Addis Ababa,Office,"The Ethiopian Red Cross Society (ERCS) wants tohireemployees in the following vacant positions the details of which are mentioned below.About the Ethiopian Red Cross SocietyThe Ethiopian Red Cross Society (ERCS) was established in 1935 and is one of the oldest and largest humanitarian organizations in Ethiopia. ERCS providesservices to communities affected by natural and manmade disasters through the provision of emergency responses, ambulance and first aid, family reunification, essential drugs, water and sanit..."
9,Accounting and Finance,Junior Accountant,EthioChicken,Addis Ababa,Office,"BACKGROUND:EthioChicken is a leading distributor of chickens to rural farmers in Ethiopia. We are a rapidly growing Company that believes in investing in our employees and offers them opportunities for career advancement. EthioChicken is an Ethiopian based company. Our Vision:Our vision is to provide one chicken per person per year through smallholder farmers.Our Purpose:Our purpose is making farmers of Ethiopia healthier and wealthier.Job Summary:The Junior Accountant, under the supervision of Division Head – T..."
14,Health Care,"TFP supervisor (OTP, SC) and TSFP",Mothers and Children Multisectoral Development Organization (MCMDO),Not Specified,Office,"Mothers and Children Multi-sectoral Development Organization (MCMDO) is an Ethiopian resident charity organization registered in accordance with the charities and societies proclamation No 1113/2019 with a certificate No 0022. MCMDO currently is being implementing more than 24 projects and development activities in Oromiya, SNNPR, Somali, Gambella, Benishangul Gumuz, Tigray, Amhara, Harari, Afar, Dire Dawa and City Administration of Addis AbabaTo meet our objectives MCMDO calls for competent professionals to app..."
15,Environment and Natural...,ENVIRONMENT SUPERVISOR,Kurmuk Gold Mine PLC,Addis Ababa,Office,"BACKGROUNDKurmuk Gold Mine PLC (KGM), a subsidiary of Allied Gold Corp., a publicly listed company on the Toronto Stock Exchange (TSX), is engaged in gold mining operations across multiple countries, including Ethiopia, Mali, and Côte d'Ivoire. KGM operates with a Large-Scale Gold Mining License and holds three contiguous Exploration Licenses.The project is strategically located in western Ethiopia, approximately 750 km from Addis Ababa and about 90 km northwest of Assosa, within the Benishangul-Gumuz Regional S..."
